state,forest_area_burnt,total_forest_area,forest_category,
ACT,83,130,Native Forest,
ACT,0,7,Commercial Plantation,
ACT,0,5,Other,
NSW,5015,19925,Native Forest,
NSW,92,380,Commercial Plantation,
NSW,16,62,Other,
NT,0,23686,Native Forest,
NT,0,45,Commercial Plantation,
NT,0,4,Other,
QLD,510,51580,Native Forest,
QLD,4,229,Commercial Plantation,
QLD,0,21,Other,
SA,118,4856,Native Forest,
SA,17,178,Commercial Plantation,
SA,2,25,Other,
TAS,27,3342,Native Forest,
TAS,3,311,Commercial Plantation,
TAS,0,46,Other,
VIC,1444,7645,Native Forest,
VIC,10,415,Commercial Plantation,
VIC,3,162,Other,
WA,1140,20450,Native Forest,
WA,4,383,Commercial Plantation,
WA,0,148,Other,